,source,target,value
262,Catelyn ,Rowan ,3
263,Catelyn ,Frey ,4
264,Catelyn ,Bran ,6
265,Catelyn ,Greatjon ,5
266,Catelyn ,Brienne ,8
267,Catelyn ,Ned ,7
268,Arya ,Sansa ,47
269,Arya ,Jaime ,3
270,Arya ,Sandor ,4
271,Arya ,Tywin ,4
272,Arya ,Joffrey ,7
273,Arya ,Mordane ,5
274,Arya ,Yoren ,9
275,Arya ,Mycah ,3
276,Arya ,Jeyne ,4
277,Arya ,Syrio ,7
278,Arya ,Beric ,3
279,Arya ,Gendry ,21
280,Arya ,Thoros ,6
281,Arya ,Anguy ,4
282,Arya ,Roose ,8
283,Arya ,Vargo ,3
284,Arya ,Stark ,16
285,Arya ,Poole ,3
286,Arya ,Forel ,4
287,Arya ,Frey ,4
288,Arya ,Bolton ,6
289,Arya ,Bran ,15
290,Arya ,Old Nan ,3
291,Arya ,Fat Tom ,3
292,Arya ,Lommy ,6
293,Arya ,Hot Pie ,14
294,Arya ,Jaqen ,5
295,Arya ,Rorge ,6
296,Arya ,Biter ,3
297,Arya ,Weese ,8
298,Arya ,Ramsay ,3
299,Arya ,Lem ,5
300,Arya ,Tom ,6
301,Arya ,Nymeria ,6
302,Arya ,Greenbeard ,3
303,Arya ,Umma ,5
304,Arya ,Ned ,9
305,Sansa ,Lysa ,8
306,Sansa ,Cersei ,8
307,Sansa ,Jaime ,6
308,Sansa ,Sandor ,4
309,Sansa ,Tyrion ,18
310,Sansa ,Joffrey ,29
311,Sansa ,Mordane ,14
312,Sansa ,Renly ,3
313,Sansa ,Petyr ,10
314,Sansa ,Varys ,3
315,Sansa ,Ilyn ,5
316,Sansa ,Loras ,4
317,Sansa ,Jeyne ,12
318,Sansa ,Margaery ,9
319,Sansa ,Lothor ,3
320,Sansa ,Lancel ,3
321,Sansa ,Dontos ,7
322,Sansa ,Royce ,3
323,Sansa ,Stark ,44
324,Sansa ,Lannister ,6
325,Sansa ,Clegane ,3
326,Sansa ,Poole ,5
327,Sansa ,Tyrell ,6
328,Sansa ,Stone ,3
329,Sansa ,Bran ,8
330,Sansa ,Littlefinger ,4
331,Sansa ,Brienne ,3
332,Sansa ,Ned ,8
333,Luwin ,Osha ,4
334,Luwin ,Cerwyn ,3
335,Luwin ,Bran ,20
336,Luwin ,Old Nan ,4
337,Luwin ,Hodor ,3
338,Aerys ,Rhaegar ,4
339,Aerys ,Aegon ,3
340,Aerys ,Jaime ,6
341,Aerys ,Tywin ,8
342,Aerys ,Targaryen ,18
343,Aerys ,Lannister ,5
344,Hoster ,Lysa ,5
345,Hoster ,Edmure ,4
346,Hoster ,Tully ,16
347,Pycelle ,Jaime ,3
348,Pycelle ,Tyrion ,7
349,Pycelle ,Tywin ,4
